prefix,itemPart,brand,sku,name,description,img,date,marketplace,notes
089102,10216,Gloria Duchin,GL2315PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10217,Gloria Duchin,GL2123PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10218,Gloria Duchin,GL2291PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10219,Gloria Duchin,GL2300PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10220,Gloria Duchin,GL2312PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10221,Gloria Duchin,GL2317PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10222,Gloria Duchin,GL1988PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",GL135,
089102,10223,Gloria Duchin,GL2235PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10224,Gloria Duchin,GL2285PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10225,Gloria Duchin,GL2380PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10226,Gloria Duchin,GL2304S,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10227,Gloria Duchin,GL1469PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",GL140,
089102,10228,Gloria Duchin,GL2056PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10229,Gloria Duchin,GL2102PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10230,Gloria Duchin,GL2232PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10231,Gloria Duchin,GL2286PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10232,Gloria Duchin,GL1092,,,,"Thu, 01 Jan 1970 05:00:00 GMT",GL145,
089102,10233,Gloria Duchin,GL1342G,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10234,Gloria Duchin,GL1459BR,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10235,Gloria Duchin,GL2015,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10236,Gloria Duchin,GL2362MG,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10237,Gloria Duchin,GL2046MS,,,,"Thu, 01 Jan 1970 05:00:00 GMT",GL150,
089102,10238,Gloria Duchin,GL2367PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10239,Gloria Duchin,GL1471PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10240,Gloria Duchin,GL2236PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10241,Gloria Duchin,GL2303S,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10300,Gloria Duchin,10300,The Victorian Collection,,,"Fri, 01 Jan 1993 00:00:00 GMT",,
089102,10301,Gloria Duchin,GL1481PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",GL155,
089102,10302,Gloria Duchin,GL1522MG,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10303,Gloria Duchin,GL1530S,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10304,Gloria Duchin,GL2100PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10305,Gloria Duchin,GL2222G,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10306,Gloria Duchin,GL2211S,,,,"Thu, 01 Jan 1970 05:00:00 GMT",GL160,
089102,10307,Gloria Duchin,GL2299PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10308,Gloria Duchin,GL2298PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10309,Gloria Duchin,GL2235PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10310,Gloria Duchin,GL2241S,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10311,Gloria Duchin,GL2022PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",GL165,
089102,10312,Gloria Duchin,GL2230PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10313,Gloria Duchin,GL2233PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10314,Gloria Duchin,GL1989PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10315,Gloria Duchin,GL13907,,,,"Thu, 01 Jan 1970 05:00:00 GMT",GL170,
089102,10316,Gloria Duchin,GL13908,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10317,Gloria Duchin,GL13909,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10318,Gloria Duchin,GL13910,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10319,Gloria Duchin,GL13911,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10320,Gloria Duchin,GL13912,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10321,Gloria Duchin,GL19313,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10322,Gloria Duchin,GL13914,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10323,Gloria Duchin,GL13915,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10324,Gloria Duchin,GL13916,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10325,Gloria Duchin,GL13917,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10326,Gloria Duchin,GL13918,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10327,Gloria Duchin,GLBM97,,,,"Thu, 01 Jan 1970 05:00:00 GMT",GL175,
089102,10328,Gloria Duchin,GLBM98,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10329,Gloria Duchin,GLBM99,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10330,Gloria Duchin,GL1466,,,,"Thu, 01 Jan 1970 05:00:00 GMT",GL180,
089102,10331,Gloria Duchin,GL1923E,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10332,Gloria Duchin,GL1924E,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10333,Gloria Duchin,GL1440BR,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10334,Gloria Duchin,GL1358R,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10335,Gloria Duchin,GL2073E,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10336,Gloria Duchin,GL2337E,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10337,Gloria Duchin,GL13906/1,,,,"Thu, 01 Jan 1970 05:00:00 GMT",GL185,
